movieId,title,genres,imdbId,tmdbId,rating,userId,movieId,tag,userId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862,4,1,60756,funny,2
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844,4,1,60756,Highly quotable,2
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602,4,1,60756,will ferrell,2
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357,5,1,89774,Boxing story,2
5,Father of the Bride Part II (1995),Comedy,113041,11862,5,1,89774,MMA,2
6,Heat (1995),Action|Crime|Thriller,113277,949,3,1,89774,Tom Hardy,2
7,Sabrina (1995),Comedy|Romance,114319,11860,5,1,106782,drugs,2
8,Tom and Huck (1995),Adventure|Children,112302,45325,4,1,106782,Leonardo DiCaprio,2
9,Sudden Death (1995),Action,114576,9091,5,1,106782,Martin Scorsese,2
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710,5,1,48516,way too long,7
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087,5,1,431,Al Pacino,18
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110,5,1,431,gangster,18
13,Balto (1995),Adventure|Animation|Children,112453,21032,3,1,431,mafia,18
14,Nixon (1995),Drama,113987,10858,5,1,1221,Al Pacino,18
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408,4,1,1221,Mafia,18
16,Casino (1995),Crime|Drama,112641,524,5,1,5995,holocaust,18
17,Sense and Sensibility (1995),Drama|Romance,114388,4584,3,1,5995,true story,18
18,Four Rooms (1995),Comedy,113101,5,3,1,44665,twist ending,18
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273,5,1,52604,Anthony Hopkins,18
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517,4,1,52604,courtroom drama,18
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012,4,1,52604,twist ending,18
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710,5,1,88094,britpop,18
23,Assassins (1995),Action|Crime|Thriller,112401,9691,4,1,88094,indie record label,18
24,Powder (1995),Drama|Sci-Fi,114168,12665,3,1,88094,music,18
25,Leaving Las Vegas (1995),Drama|Romance,113627,451,4,1,144210,dumpster diving,18
26,Othello (1995),Drama,114057,16420,5,1,144210,Sustainability,18
27,Now and Then (1995),Children|Drama,114011,9263,4,1,1569,romantic comedy,21
28,Persuasion (1995),Drama|Romance,114117,17015,3,1,1569,wedding,21
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902,5,1,118985,painter,21
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557,4,1,119141,bloody,21
31,Dangerous Minds (1995),Drama,112792,9909,4,1,109487,black hole,49
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63,5,1,109487,sci-fi,49
34,Babe (1995),Children|Drama,112431,9598,4,1,109487,time-travel,49
36,Dead Man Walking (1995),Crime|Drama,112818,687,4,1,2,fantasy,62
38,It Takes Two (1995),Children|Comedy,113442,33689,4,1,2,magic board game,62
39,Clueless (1995),Comedy|Romance,112697,9603,5,1,2,Robin Williams,62
40,"Cry, the Beloved Country (1995)",Drama,112749,34615,5,1,110,beautiful scenery,62
41,Richard III (1995),Drama|War,114279,31174,3,1,110,epic,62
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443,5,1,110,historical,62
43,Restoration (1995),Drama,114272,35196,3,1,110,inspirational,62
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312,4,1,110,Medieval,62
45,To Die For (1995),Comedy|Drama|Thriller,114681,577,3,1,110,mel gibson,62
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861,3,1,110,Oscar (Best Cinematography),62
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807,4,1,110,revenge,62
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530,5,1,110,sword fight,62
49,When Night Is Falling (1995),Drama|Romance,114916,8391,5,1,410,black comedy,62
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629,5,1,410,Christina Ricci,62
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448,4,1,410,Christopher Lloyd,62
53,Lamerica (1994),Adventure|Drama,110299,49133,5,1,410,dark comedy,62
54,"Big Green, The (1995)",Children|Comedy,112499,26441,3,1,410,family,62
55,Georgia (1995),Drama,113158,97406,5,1,410,gothic,62
57,Home for the Holidays (1995),Drama,113321,9089,5,1,2023,Al Pacino,62
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010,5,1,2023,Andy Garcia,62
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359,5,1,2023,Classic,62
61,Eye for an Eye (1996),Drama|Thriller,116260,17182,3,1,2023,Francis Ford Coppola,62
62,Mr. Holland's Opus (1995),Drama,113862,2054,5,1,2023,mafia,62
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607,5,1,2124,black comedy,62
64,Two if by Sea (1996),Comedy|Romance,118002,19760,4,1,2124,Christina Ricci,62
65,Bio-Dome (1996),Comedy,115683,9536,5,1,2124,Christopher Lloyd,62
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525,4,1,2124,Family,62
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482,5,1,2124,gothic,62
69,Friday (1995),Comedy,113118,10634,5,1,2124,quirky,62
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755,5,1,2953,family,62
71,Fair Game (1995),Action,113010,11859,4,1,2953,funny,62
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387,5,1,2953,Macaulay Culkin,62
73,"Misérables, Les (1995)",Drama|War,113828,48750,5,1,2953,sequel,62
74,Bed of Roses (1996),Drama|Romance,115644,20927,4,1,3114,animation,62
75,Big Bully (1996),Comedy|Drama,115676,36929,5,1,3114,Disney,62
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102,5,1,3114,funny,62
77,Nico Icon (1995),Documentary,113973,124626,5,1,3114,original,62
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526,5,1,3114,Pixar,62
79,"Juror, The (1996)",Drama|Thriller,116731,9623,5,1,3114,sequel,62
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785,4,1,3114,Tom Hanks,62
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400,5,1,3578,ancient Rome,62
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880,5,1,3578,Epic,62
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599,4,1,3578,history,62
85,Angels and Insects (1995),Drama|Romance,112365,8447,2,1,3578,imdb top 250,62
86,White Squall (1996),Action|Adventure|Drama,118158,10534,5,1,3578,revenge,62
87,Dunston Checks In (1996),Children|Comedy,116151,17414,5,1,3578,Rome,62
88,Black Sheep (1996),Comedy,115697,13997,5,1,3578,Russell Crowe,62
89,Nick of Time (1995),Action|Thriller,113972,2086,5,1,4223,Ed Harris,62
92,Mary Reilly (1996),Drama|Horror|Thriller,117002,9095,5,1,4223,Jude Law,62
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825,12158,5,1,4223,Rachel Weisz,62
94,Beautiful Girls (1996),Comedy|Drama|Romance,115639,9283,3,1,4223,sniper,62
95,Broken Arrow (1996),Action|Adventure|Thriller,115759,9208,4,1,4223,World War II,62
96,In the Bleak Midwinter (1995),Comedy|Drama,113403,40154,5,1,5388,Al Pacino,62
97,"Hate (Haine, La) (1995)",Crime|Drama,113247,406,5,1,5388,atmospheric,62
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283,63076,5,1,5388,Hilary Swank,62
100,City Hall (1996),Drama|Thriller,115907,11062,5,1,5388,Robin Williams,62
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685,5,1,6058,sequel,62
102,Mr. Wrong (1996),Comedy,117102,47475,5,1,6058,violent,62
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040,2045,4,1,6534,dogs,62
104,Happy Gilmore (1996),Comedy,116483,9614,3,1,6534,Eric Bana,62
105,"Bridges of Madison County, The (1995)",Drama|Romance,112579,688,3,1,6534,mad scientist,62
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,110251,11907,3,1,6534,marvel,62
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110,10874,3,1,6541,captain nemo,62
108,Catwalk (1996),Documentary,112646,89333,4,1,6541,comic book,62
110,Braveheart (1995),Action|Drama|War,112573,197,4,1,6541,gothic,62
111,Taxi Driver (1976),Crime|Drama|Thriller,75314,103,5,1,6541,Peta Wilson,62
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,113326,33542,4,1,6541,Sean Connery,62
113,Before and After (1996),Drama|Mystery,115645,43566,5,1,6541,superhero,62
116,Anne Frank Remembered (1995),Documentary,112373,51352,3,1,6564,adventure,62
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,115033,16934,5,1,6564,Angelina Jolie,62
118,If Lucy Fell (1996),Comedy|Romance,116606,10324,5,1,6564,heroine in tight suit,62
119,"Steal Big, Steal Little (1995)",Comedy,114536,78406,4,1,7153,Adventure,62
121,"Boys of St. Vincent, The (1992)",Drama,106473,32119,5,1,7153,ensemble cast,62
122,Boomerang (1992),Comedy|Romance,103859,11066,3,1,7153,fantasy,62
